ticker,date,open,high,low,close,volume,sourceUrl
AAPL,2026-06-24,295.355,299.7,292.94,293.08,53081860,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-23,297.538,301.64,294.18,294.3,52010930,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-22,297.31,302.42,296.76,297.01,44879910,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-18,298.11,300.57,295.62,298.01,85962200,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-17,300.845,302.07,294.36,295.95,42745060,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-16,295.245,300.48,293.97,299.24,39874400,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-15,294.12,297.78,291.7,296.42,45732570,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-12,296.03,297.14,289.62,291.13,38784790,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-11,293.72,297,289.59,295.63,42572500,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-10,290.74,294.75,287.38,291.58,52793270,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-09,300.275,300.75,287.78,290.55,70108850,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-08,308.739,317.4,301.17,301.54,77949080,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-05,312.86,315.17,307.15,307.34,65310500,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-04,313.23,313.54,309.65,311.23,44869130,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-03,314.175,316.94,308.85,310.26,50836710,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-02,307.46,315.45,306.685,315.2,44534720,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-06-01,309.625,310.94,305.02,306.31,48849930,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-29,311.775,315,309.53,312.06,70026750,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-28,310.68,312.8,309.57,312.51,48220390,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-27,308.33,313.26,308.3,310.85,50430920,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-26,309.56,311.82,307.67,308.33,48000490,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-22,306.12,311.4,305.84,308.82,43670220,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-21,301.055,305.54,300.4,304.99,42965130,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-20,298.18,302.8,298.08,302.25,38229840,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-19,296.97,300.51,296.35,298.97,42243560,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-18,300.24,300.66,294.91,297.84,34482960,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-15,297.9,303.2,296.52,300.23,54862840,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-14,299.82,300.45,295.38,298.21,35324920,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-13,293.5,300.92,293.5,298.87,52684260,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-12,292.56,295.27,292.56,294.8,45748130,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-11,291.979,293.88,290.23,292.68,42247290,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-08,290.01,294.76,290,293.32,52692760,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-07,289.27,292.13,285.78,287.44,45224300,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-06,281.915,288.03,281.07,287.51,58336070,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-05,276.925,284.57,276.501,284.18,49311710,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-04,279.655,280.63,274.8601,276.83,46668400,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
AAPL,2026-05-01,278.855,287.22,278.37,280.14,79915440,https://api.nasdaq.com/api/quote/AAPL/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
MSFT,2026-06-24,371.57,378.88,364.78,365.46,44509850,https://api.nasdaq.com/api/quote/MSFT/historical?assetclass=stocks&fromdate=2026-05-01&todate=2026-06-25&limit=9999
